dataset,profile_id,seed,strata,hard_ratio,mid_ratio,easy_ratio,ranking_mode,val_f1,val_auc,val_pr_auc,val_precision,val_recall,val_specificity,test1_f1_report_only,test1_auc_report_only,test1_pr_auc_report_only,test1_precision_report_only,test1_recall_report_only,test1_specificity_report_only,test2_f1_report_only,test2_auc_report_only,test2_pr_auc_report_only,test2_precision_report_only,test2_recall_report_only,test2_specificity_report_only,saved_dir
dn,s12_h0p50_m0p35_e0p15,82,12,0.5,0.35,0.15,distance_only,0.9824561403508771,0.9987543252595155,0.9987723798728791,0.9767441860465116,0.9882352941176471,0.9764705882352941,0.8446601941747572,0.9781459142361398,0.9443638349014161,0.7565217391304347,0.9560439560439561,0.8947368421052632,0.8472906403940886,0.9777317022600042,0.9190811308269943,0.7678571428571429,0.945054945054945,0.9018867924528302,outputs\dn_sdss32_final_s12_h0p50_m0p35_e0p15_seed82_20260519_002234\20260519_034736
dn,s12_h0p50_m0p30_e0p20,42,12,0.5,0.3,0.2,distance_only,0.9550561797752809,0.9979238754325259,0.9979400897689672,0.9139784946236559,1.0,0.9058823529411765,0.7258064516129032,0.9232215153267785,0.6960243574619677,0.5732484076433121,0.989010989010989,0.7481203007518797,0.7250996015936255,0.9338585942359527,0.7279700561254197,0.56875,1.0,0.7396226415094339,outputs\dn_sdss32_final_s12_h0p50_m0p30_e0p20_seed42_20260519_002234\20260519_034817
dn,s12_h0p50_m0p30_e0p20,52,12,0.5,0.3,0.2,distance_only,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.8294930875576036,0.9707923655292077,0.9092151460590958,0.7142857142857143,0.989010989010989,0.8646616541353384,0.861244019138756,0.9631349782293179,0.8211075228779567,0.7627118644067796,0.989010989010989,0.8943396226415095,outputs\dn_sdss32_final_s12_h0p50_m0p30_e0p20_seed52_20260519_002234\20260519_034854
dn,s12_h0p50_m0p30_e0p20,62,12,0.5,0.3,0.2,distance_only,0.9770114942528736,0.9988927335640139,0.9989000611803354,0.9550561797752809,1.0,0.9529411764705882,0.8181818181818182,0.9850863422291994,0.9527037490791324,0.6976744186046512,0.989010989010989,0.8533834586466166,0.8294930875576036,0.983122537839519,0.9411500759200617,0.7142857142857143,0.989010989010989,0.8641509433962264,outputs\dn_sdss32_final_s12_h0p50_m0p30_e0p20_seed62_20260519_002234\20260519_034933
dn,s12_h0p50_m0p30_e0p20,72,12,0.5,0.3,0.2,distance_only,0.9761904761904762,0.9980622837370242,0.9980564163502987,0.9879518072289156,0.9647058823529412,0.9882352941176471,0.898989898989899,0.9857473353713955,0.9550303116342839,0.8317757009345794,0.978021978021978,0.9323308270676691,0.8910891089108911,0.9840348330914368,0.913571213361127,0.8108108108108109,0.989010989010989,0.9207547169811321,outputs\dn_sdss32_final_s12_h0p50_m0p30_e0p20_seed72_20260519_002234\20260519_035009
dn,s12_h0p50_m0p30_e0p20,82,12,0.5,0.3,0.2,distance_only,0.9883720930232558,0.9991695501730103,0.9991791325709961,0.9770114942528736,1.0,0.9764705882352941,0.827906976744186,0.9800462695199538,0.9593269656244854,0.717741935483871,0.978021978021978,0.868421052631579,0.8557692307692307,0.9797843665768194,0.9235824065264902,0.7606837606837606,0.978021978021978,0.8943396226415095,outputs\dn_sdss32_final_s12_h0p50_m0p30_e0p20_seed82_20260519_002234\20260519_035045
dn,s12_h0p55_m0p35_e0p10,42,12,0.55,0.35,0.1,distance_only,0.9714285714285714,0.9975086505190311,0.9975372274584828,0.9444444444444444,1.0,0.9411764705882353,0.7639484978540773,0.9618276460381723,0.8818889182203272,0.6267605633802817,0.978021978021978,0.8007518796992481,0.7878787878787878,0.9667634252539913,0.8484083674671696,0.65,1.0,0.8150943396226416,outputs\dn_sdss32_final_s12_h0p55_m0p35_e0p10_seed42_20260519_002234\20260519_035123
dn,s12_h0p55_m0p35_e0p10,52,12,0.55,0.35,0.1,distance_only,0.9882352941176471,0.9998615916955018,0.9998632010943912,0.9882352941176471,0.9882352941176471,0.9882352941176471,0.8944723618090452,0.9782698504503016,0.9445498327726265,0.8240740740740741,0.978021978021978,0.9285714285714286,0.8910891089108911,0.982500518349575,0.9310864927121293,0.8108108108108109,0.989010989010989,0.9207547169811321,outputs\dn_sdss32_final_s12_h0p55_m0p35_e0p10_seed52_20260519_002234\20260519_035200
dn,s12_h0p55_m0p35_e0p10,62,12,0.55,0.35,0.1,distance_only,0.9826589595375722,0.9998615916955018,0.9998632010943911,0.9659090909090909,1.0,0.9647058823529412,0.8144796380090498,0.9804593902338263,0.9487815157207162,0.6923076923076923,0.989010989010989,0.849624060150376,0.8490566037735849,0.9737922454903588,0.9030325659363226,0.743801652892562,0.989010989010989,0.8830188679245283,outputs\dn_sdss32_final_s12_h0p55_m0p35_e0p10_seed62_20260519_002234\20260519_035238
dn,s12_h0p55_m0p35_e0p10,72,12,0.55,0.35,0.1,distance_only,0.9710982658959537,0.9968166089965398,0.9968047862972268,0.9545454545454546,0.9882352941176471,0.9529411764705882,0.777292576419214,0.981037759233248,0.9512013666683047,0.644927536231884,0.978021978021978,0.8157894736842105,0.8071748878923767,0.979722164627825,0.9314483329970271,0.6818181818181818,0.989010989010989,0.8415094339622642,outputs\dn_sdss32_final_s12_h0p55_m0p35_e0p10_seed72_20260519_002234\20260519_035318
